name,points,error,time(us),time per city(us),distance,optimal_distance
berlin52,52,12.240000,410.000000,7.890000,8465.089844,7542.000000
st70,70,6.150000,575.000000,8.210000,716.510010,675.000000
eil76,76,5.700000,1094.000000,14.400000,568.640015,538.000000
pr76,76,4.630000,990.000000,13.030000,113170.289062,108159.000000
kroA100,100,7.430000,1227.000000,12.270000,22863.609375,21282.000000
kroC100,100,2.790000,1449.000000,14.490000,21327.650391,20749.000000
kroD100,100,5.710000,1170.000000,11.700000,22510.070312,21294.000000
rd100,100,7.710000,1259.000000,12.590000,8520.009766,7910.000000
eil101,101,6.180000,1315.000000,13.020000,667.849976,629.000000
lin105,105,6.210000,1370.000000,13.050000,15271.400391,14379.000000
ch130,130,5.190000,2300.000000,17.690001,6426.850098,6110.000000
ch150,150,6.960000,3322.000000,22.150000,6982.020020,6528.000000
tsp225,225,1.440000,7547.000000,33.540001,3972.350098,3916.000000
a280,279,5.560000,11423.000000,40.939999,2722.310059,2579.000000
pcb442,442,6.780000,26504.000000,59.959999,54221.839844,50778.000000
pr1002,1002,8.250000,106980.000000,106.769997,280427.687500,259045.000000
pr2392,2392,9.610000,560528.000000,234.330002,414352.718750,378032.000000
