name	points	error	time(us)	time per city(us)	distance	optimal_distance
berlin52	52	6.940000	377.000000	7.250000	8065.029785	7542.000000
st70	70	4.000000	513.000000	7.330000	702.010010	675.000000
eil76	76	4.150000	688.000000	9.050000	560.320007	538.000000
pr76	76	4.840000	587.000000	7.720000	113398.296875	108159.000000
kroA100	100	7.810000	1238.000000	12.380000	22943.359375	21282.000000
kroC100	100	1.200000	1193.000000	11.930000	20997.609375	20749.000000
kroD100	100	2.810000	1174.000000	11.740000	21891.400391	21294.000000
rd100	100	2.290000	1323.000000	13.230000	8091.479980	7910.000000
eil101	101	5.220000	1154.000000	11.430000	661.820007	629.000000
lin105	105	1.500000	1287.000000	12.260000	14594.990234	14379.000000
ch130	130	2.380000	2205.000000	16.959999	6255.129883	6110.000000
ch150	150	5.940000	2892.000000	19.280001	6915.609863	6528.000000
tsp225	225	4.080000	8533.000000	37.919998	4075.770020	3916.000000
a280	279	6.550000	10976.000000	39.340000	2747.939941	2579.000000
pcb442	442	6.430000	24439.000000	55.290001	54042.148438	50778.000000
pr1002	1002	5.940000	91471.000000	91.290001	274433.906250	259045.000000
pr2392	2392	8.880000	545337.062500	227.979996	411617.562500	378032.000000
