name	distance	points	error	time(ms)
pr1002	279912.375000	1002.000000	0.080555	1958.000000
pcb442	54950.472656	442.000000	0.082171	109.000000
a280	1882.046021	181.000000	0.270242	33.000000
eil76	559.591309	76.000000	0.040133	0.000000
pr76	110420.046875	76.000000	0.020905	0.000000
kroA100	21484.185547	100.000000	0.009500	1.000000
pr2392	417592.156250	2392.000000	0.104648	67852.000000
st70	714.197571	70.000000	0.058070	0.000000
kroC100	21406.339844	100.000000	0.031681	2.000000
kroD100	23204.173828	100.000000	0.089705	1.000000
berlin52	7962.468750	52.000000	0.055750	0.000000
eil101	669.636719	101.000000	0.064605	2.000000
rd100	8146.132324	100.000000	0.029852	1.000000
lin105	15285.629883	105.000000	0.063052	1.000000
ch130	6326.186523	130.000000	0.035382	4.000000
ch150	7119.759766	150.000000	0.090649	6.000000
tsp225	2639.133545	126.000000	0.326064	3.000000
